number, sample name
sample_1,SRR7142497
sample_2,SRR7142491
sample_3,SRR7142505
sample_4,SRR7142475
sample_5,SRR7142509
sample_6,SRR7142501
sample_7,SRR7142502
sample_8,SRR7142472
sample_9,SRR7142477
sample_10,SRR7142506
sample_11,SRR7142525
sample_12,SRR7142471
sample_13,SRR7142528
sample_14,SRR7142490
sample_15,SRR7142503
sample_16,SRR7142473
sample_17,SRR7142489
sample_18,SRR7142520
sample_19,SRR7142512
sample_20,SRR7142495
sample_21,SRR7142479
sample_22,SRR7142527
sample_23,SRR7142516
sample_24,SRR7142500
sample_25,SRR7142508
sample_26,SRR7142523
sample_27,SRR7142484
sample_28,SRR7142487
sample_29,SRR7142469
sample_30,SRR7142494
sample_31,SRR7142511
sample_32,SRR7142470
sample_33,SRR7142480
sample_34,SRR7142521
sample_35,SRR7142513
sample_36,SRR7142468
sample_37,SRR7142496
sample_38,SRR7142474
sample_39,SRR7142530
sample_40,SRR7142499
sample_41,SRR7142476
sample_42,SRR7142466
sample_43,SRR7142507
sample_44,SRR7142522
sample_45,SRR7142486
sample_46,SRR7142519
sample_47,SRR7142510
sample_48,SRR7142482
sample_49,SRR7142492
sample_50,SRR7142498
sample_51,SRR7142515
sample_52,SRR7142532
sample_53,SRR7142518
sample_54,SRR7142465
sample_55,SRR7142517
sample_56,SRR7142485
sample_57,SRR7142526
sample_58,SRR7142531
sample_59,SRR7142514
sample_60,SRR7142467
sample_61,SRR7142524
sample_62,SRR7142481
sample_63,SRR7142464
sample_64,SRR7142483
sample_65,SRR7142529
sample_66,SRR7142493
sample_67,SRR7142478
sample_68,SRR7142504
sample_69,SRR7142488
sample_70,SRR2143516
sample_71,SRR2143517
sample_72,SRR2143518
sample_73,SRR2143521
sample_74,SRR2143522
sample_75,SRR2143523
sample_76,SRR2143524
sample_77,SRR2143525
sample_78,SRR2143526
sample_79,SRR2143527
sample_80,SRR2143531
sample_81,SRR2143533
sample_82,SRR2143534
sample_83,SRR2143536
sample_84,SRR2143537
sample_85,SRR2143542
sample_86,SRR2143544
sample_87,SRR2143545
sample_88,SRR2143548
sample_89,SRR2143549
sample_90,SRR2143552
sample_91,SRR2143553
sample_92,SRR2143554
sample_93,SRR2143555
sample_94,SRR2143556
sample_95,SRR2143557
sample_96,SRR2143558
sample_97,SRR2143559
sample_98,SRR2143560
sample_99,SRR2143561
sample_100,SRR2143562
sample_101,SRR2143564
sample_102,SRR2143566
sample_103,SRR2143570
sample_104,SRR2143574
sample_105,SRR2143577
sample_106,SRR2143578
sample_107,SRR2143580
sample_108,SRR2143581
sample_109,SRR2143584
sample_110,SRR2143586
sample_111,SRR2143587
sample_112,SRR2143588
sample_113,SRR2143589
sample_114,SRR2143590
sample_115,SRR2143591
sample_116,SRR2143593
sample_117,SRR2143596
sample_118,SRR2143599
sample_119,SRR2143600
sample_120,SRR2143601
sample_121,SRR2143602
sample_122,SRR2143605
sample_123,SRR2143606
sample_124,SRR2143609
sample_125,SRR2143613
sample_126,SRR2143621
sample_127,SRR2143622
sample_128,SRR2143627
sample_129,SRR2143630
sample_130,SRR2143631
sample_131,SRR2143633
sample_132,SRR2143634
sample_133,SRR2143635
sample_134,SRR2143636
sample_135,SRR2143637
sample_136,SRR2143638
sample_137,SRR2143644
sample_138,SRR2143647
sample_139,SRR2143649
sample_140,SRR2143650
sample_141,SRR2143652
sample_142,SRR2143654
sample_143,SRR2143657
sample_144,SRR2143659
sample_145,SRR2143660
sample_146,SRR2143662
sample_147,SRR2143663
sample_148,SRR2143664
sample_149,SRR2143665
sample_150,SRR2143667
sample_151,SRR2143668
sample_152,SRR2143669
sample_153,SRR2143672
sample_154,SRR2143674
sample_155,SRR2143675
sample_156,SRR2143676
sample_157,SRR2143677
sample_158,SRR2143681
sample_159,SRR2143682
sample_160,SRR2143683
sample_161,SRR2143684
sample_162,SRR2143693
sample_163,SRR2143694
sample_164,SRR2143696
sample_165,SRR2143697
sample_166,SRR2143698
sample_167,SRR2143699
sample_168,SRR2143705
sample_169,SRR2143708
sample_170,SRR2143709
sample_171,SRR2143712
sample_172,SRR2143716
sample_173,SRR2143717
sample_174,SRR2143718
sample_175,SRR2143719
sample_176,SRR2143721
sample_177,SRR2143722
sample_178,SRR2143723
sample_179,SRR2143724
sample_180,SRR2143725
sample_181,SRR2143727
sample_182,SRR2143732
sample_183,SRR2143733
sample_184,SRR2143734
sample_185,SRR2143735
sample_186,SRR2143736
sample_187,SRR2143743
sample_188,SRR2143744
sample_189,SRR2143745
sample_190,SRR2143746
sample_191,SRR2143747
sample_192,SRR2143748
sample_193,SRR2143749
sample_194,SRR2143750
sample_195,SRR2143758
sample_196,SRR2143759
sample_197,SRR2143760
sample_198,SRR2143761
sample_199,SRR2143763
sample_200,SRR2143764
sample_201,SRR2143766
sample_202,SRR2143767
sample_203,SRR2143768
sample_204,SRR2143769
sample_205,SRR2143770
sample_206,SRR2143776
sample_207,SRR2143777
sample_208,SRR2143778
sample_209,SRR2143779
sample_210,SRR2143780
sample_211,SRR2143784
sample_212,SRR2143785
sample_213,SRR2143786
sample_214,SRR2143788
sample_215,SRR2143789
sample_216,SRR2143792
sample_217,SRR2143796
sample_218,SRR2143798
sample_219,SRR2143805
sample_220,SRR2143808
sample_221,SRR2143811
sample_222,SRR2143812
sample_223,SRR2143813
sample_224,SRR2143814
sample_225,SRR2143818
sample_226,SRR2143824
sample_227,SRR2143827
sample_228,SRR2143830
sample_229,SRR2143832
sample_230,SRR2143835
sample_231,SRR2143836
sample_232,SRR2143837
sample_233,SRR2143838
sample_234,SRR2143839
sample_235,SRR2143840
sample_236,SRR2143842
sample_237,SRR2143845
sample_238,SRR2143846
sample_239,SRR2143856
sample_240,SRR2143857
sample_241,SRR2143858
sample_242,SRR2143865
sample_243,SRR2143878
sample_244,SRR2143883
sample_245,SRR2143885
sample_246,SRR2143886
sample_247,SRR2143889
sample_248,SRR2143890
sample_249,SRR2143891
sample_250,SRR2143893
sample_251,SRR2143894
sample_252,SRR2143895
sample_253,SRR2143897
sample_254,SRR2143898
sample_255,SRR2143899
sample_256,SRR2143900
sample_257,SRR2143902
sample_258,SRR2143903
sample_259,SRR2143905
sample_260,SRR2143906
sample_261,SRR2143907
sample_262,SRR2143908
sample_263,SRR2143909
sample_264,SRR2143910
sample_265,SRR2143911
sample_266,SRR2143912
sample_267,SRR2143922
sample_268,SRR2143924
sample_269,SRR2143925
sample_270,SRR2143926
sample_271,SRR2143927
sample_272,SRR2143928
sample_273,SRR2143931
sample_274,SRR2143932
sample_275,SRR2143934
sample_276,SRR2143936
sample_277,SRR2143937
sample_278,SRR2143942
sample_279,SRR2143943
sample_280,SRR2143950
sample_281,SRR2143951
sample_282,SRR2143958
sample_283,SRR2143959
sample_284,SRR2143963
sample_285,SRR2143964
sample_286,SRR2143965
sample_287,SRR2143966
sample_288,SRR2143967
sample_289,SRR2143968
sample_290,SRR2143970
sample_291,SRR2143972
sample_292,SRR2143978
sample_293,SRR2143979
sample_294,SRR2143981
sample_295,SRR2143982
sample_296,SRR2143984
sample_297,SRR2143985
sample_298,SRR2143986
sample_299,SRR2143987
sample_300,SRR2143989
sample_301,SRR2143996
sample_302,SRR2143998
sample_303,SRR2143999
sample_304,SRR2144001
sample_305,SRR2144003
sample_306,SRR2144004
sample_307,SRR2144005
sample_308,SRR2144006
sample_309,SRR2144008
sample_310,SRR2144009
sample_311,SRR2144011
sample_312,SRR2144012
sample_313,SRR2144013
sample_314,SRR2144014
sample_315,SRR2144015
sample_316,SRR2144016
sample_317,SRR2144017
sample_318,SRR2144020
sample_319,SRR2144021
sample_320,SRR2144022
sample_321,SRR2144024
sample_322,SRR2144027
sample_323,SRR2144029
sample_324,SRR2144031
sample_325,SRR2144032
sample_326,SRR2144033
sample_327,SRR2144034
sample_328,SRR2144035
sample_329,SRR2144039
sample_330,SRR2144043
sample_331,SRR2144070
sample_332,SRR2144071
sample_333,SRR2144073
sample_334,SRR2144090
sample_335,SRR2144092
sample_336,SRR2144093
sample_337,SRR2144094
sample_338,SRR2144095
sample_339,SRR2144096
sample_340,SRR2144098
sample_341,SRR2144101
sample_342,SRR2144103
sample_343,SRR2144105
sample_344,SRR2144106
sample_345,SRR2144107
sample_346,SRR2144108
sample_347,SRR2144109
sample_348,SRR2144110
sample_349,SRR2144111
sample_350,SRR2144112
sample_351,SRR2144115
sample_352,SRR2144116
sample_353,SRR2144117
sample_354,SRR2144119
sample_355,SRR2144120
sample_356,SRR2144121
sample_357,SRR2144122
sample_358,SRR2144125
sample_359,SRR2144127
sample_360,SRR2144129
sample_361,SRR2144131
sample_362,ERR3928931
sample_363,ERR3928933
sample_364,ERR3928935
sample_365,ERR3928937
sample_366,ERR3928938
sample_367,ERR3928939
sample_368,ERR3928940
sample_369,ERR3928941
sample_370,ERR3928942
sample_371,ERR3928943
sample_372,ERR3928944
sample_373,ERR3928946
sample_374,ERR3928948
sample_375,ERR3928950
sample_376,ERR3928951
sample_377,ERR3928952
sample_378,ERR3928953
sample_379,ERR3928954
sample_380,ERR3928955
sample_381,ERR3928956
sample_382,ERR3928957
sample_383,ERR3928958
sample_384,ERR3928959
sample_385,ERR3928960
sample_386,ERR3928961
sample_387,ERR3928962
sample_388,ERR3928963
sample_389,ERR3928964
sample_390,ERR3928965
sample_391,ERR3928966
sample_392,ERR3928968
sample_393,ERR3928971
sample_394,ERR3928972
sample_395,ERR3928973
sample_396,ERR3928974
sample_397,ERR3928975
sample_398,ERR3928977
sample_399,ERR3928978
sample_400,ERR3928979
sample_401,ERR3928980
sample_402,ERR3928982
sample_403,ERR3929033
sample_404,ERR3929034
sample_405,ERR3929035
sample_406,ERR3929036
sample_407,ERR3929037
sample_408,ERR3929038
sample_409,ERR3929040
sample_410,ERR3929042
sample_411,ERR3929043
sample_412,ERR3929045
sample_413,ERR3929046
sample_414,ERR3929047
sample_415,ERR3929048
sample_416,ERR3929049
sample_417,ERR3929050
sample_418,ERR3929051
sample_419,ERR3929052
sample_420,ERR3929054
sample_421,ERR3929055
sample_422,ERR3929057
sample_423,ERR3929058
sample_424,ERR3929059
sample_425,ERR3929060
sample_426,ERR3929061
sample_427,ERR3929062
sample_428,ERR3929063
sample_429,ERR3929064
sample_430,ERR3929066
sample_431,ERR3929068
sample_432,ERR3929070
sample_433,ERR3929071
sample_434,ERR3929072
sample_435,ERR3929073
sample_436,ERR3929074
sample_437,ERR3929075
sample_438,ERR3929076
sample_439,ERR3929078
sample_440,ERR3929079
sample_441,ERR3929080
sample_442,ERR3929082
sample_443,ERR3929084
