Kingdom,Phylum,Class,Order,Family,Genus,Species,SRR7142497,SRR7142491,SRR7142505,SRR7142475,SRR7142509,SRR7142501,SRR7142502,SRR7142472,SRR7142477,SRR7142506,SRR7142525,SRR7142471,SRR7142528,SRR7142490,SRR7142503,SRR7142473,SRR7142489,SRR7142520,SRR7142512,SRR7142495,SRR7142479,SRR7142527,SRR7142516,SRR7142500,SRR7142508,SRR7142523,SRR7142484,SRR7142487,SRR7142469,SRR7142494,SRR7142511,SRR7142470,SRR7142480,SRR7142521,SRR7142513,SRR7142468,SRR7142496,SRR7142474,SRR7142530,SRR7142499,SRR7142476,SRR7142466,SRR7142507,SRR7142522,SRR7142486,SRR7142519,SRR7142510,SRR7142482,SRR7142492,SRR7142498,SRR7142515,SRR7142532,SRR7142518,SRR7142465,SRR7142517,SRR7142485,SRR7142526,SRR7142531,SRR7142514,SRR7142467,SRR7142524,SRR7142481,SRR7142464,SRR7142483,SRR7142529,SRR7142493,SRR7142478,SRR7142504,SRR7142488,SRR2143516,SRR2143517,SRR2143518,SRR2143521,SRR2143522,SRR2143523,SRR2143524,SRR2143525,SRR2143526,SRR2143527,SRR2143531,SRR2143533,SRR2143534,SRR2143536,SRR2143537,SRR2143542,SRR2143544,SRR2143545,SRR2143548,SRR2143549,SRR2143552,SRR2143553,SRR2143554,SRR2143555,SRR2143556,SRR2143557,SRR2143558,SRR2143559,SRR2143560,SRR2143561,SRR2143562,SRR2143564,SRR2143566,SRR2143570,SRR2143574,SRR2143577,SRR2143578,SRR2143580,SRR2143581,SRR2143584,SRR2143586,SRR2143587,SRR2143588,SRR2143589,SRR2143590,SRR2143591,SRR2143593,SRR2143596,SRR2143599,SRR2143600,SRR2143601,SRR2143602,SRR2143605,SRR2143606,SRR2143609,SRR2143613,SRR2143621,SRR2143622,SRR2143627,SRR2143630,SRR2143631,SRR2143633,SRR2143634,SRR2143635,SRR2143636,SRR2143637,SRR2143638,SRR2143644,SRR2143647,SRR2143649,SRR2143650,SRR2143652,SRR2143654,SRR2143657,SRR2143659,SRR2143660,SRR2143662,SRR2143663,SRR2143664,SRR2143665,SRR2143667,SRR2143668,SRR2143669,SRR2143672,SRR2143674,SRR2143675,SRR2143676,SRR2143677,SRR2143681,SRR2143682,SRR2143683,SRR2143684,SRR2143693,SRR2143694,SRR2143696,SRR2143697,SRR2143698,SRR2143699,SRR2143705,SRR2143708,SRR2143709,SRR2143712,SRR2143716,SRR2143717,SRR2143718,SRR2143719,SRR2143721,SRR2143722,SRR2143723,SRR2143724,SRR2143725,SRR2143727,SRR2143732,SRR2143733,SRR2143734,SRR2143735,SRR2143736,SRR2143743,SRR2143744,SRR2143745,SRR2143746,SRR2143747,SRR2143748,SRR2143749,SRR2143750,SRR2143758,SRR2143759,SRR2143760,SRR2143761,SRR2143763,SRR2143764,SRR2143766,SRR2143767,SRR2143768,SRR2143769,SRR2143770,SRR2143776,SRR2143777,SRR2143778,SRR2143779,SRR2143780,SRR2143784,SRR2143785,SRR2143786,SRR2143788,SRR2143789,SRR2143792,SRR2143796,SRR2143798,SRR2143805,SRR2143808,SRR2143811,SRR2143812,SRR2143813,SRR2143814,SRR2143818,SRR2143824,SRR2143827,SRR2143830,SRR2143832,SRR2143835,SRR2143836,SRR2143837,SRR2143838,SRR2143839,SRR2143840,SRR2143842,SRR2143845,SRR2143846,SRR2143856,SRR2143857,SRR2143858,SRR2143865,SRR2143878,SRR2143883,SRR2143885,SRR2143886,SRR2143889,SRR2143890,SRR2143891,SRR2143893,SRR2143894,SRR2143895,SRR2143897,SRR2143898,SRR2143899,SRR2143900,SRR2143902,SRR2143903,SRR2143905,SRR2143906,SRR2143907,SRR2143908,SRR2143909,SRR2143910,SRR2143911,SRR2143912,SRR2143922,SRR2143924,SRR2143925,SRR2143926,SRR2143927,SRR2143928,SRR2143931,SRR2143932,SRR2143934,SRR2143936,SRR2143937,SRR2143942,SRR2143943,SRR2143950,SRR2143951,SRR2143958,SRR2143959,SRR2143963,SRR2143964,SRR2143965,SRR2143966,SRR2143967,SRR2143968,SRR2143970,SRR2143972,SRR2143978,SRR2143979,SRR2143981,SRR2143982,SRR2143984,SRR2143985,SRR2143986,SRR2143987,SRR2143989,SRR2143996,SRR2143998,SRR2143999,SRR2144001,SRR2144003,SRR2144004,SRR2144005,SRR2144006,SRR2144008,SRR2144009,SRR2144011,SRR2144012,SRR2144013,SRR2144014,SRR2144015,SRR2144016,SRR2144017,SRR2144020,SRR2144021,SRR2144022,SRR2144024,SRR2144027,SRR2144029,SRR2144031,SRR2144032,SRR2144033,SRR2144034,SRR2144035,SRR2144039,SRR2144043,SRR2144070,SRR2144071,SRR2144073,SRR2144090,SRR2144092,SRR2144093,SRR2144094,SRR2144095,SRR2144096,SRR2144098,SRR2144101,SRR2144103,SRR2144105,SRR2144106,SRR2144107,SRR2144108,SRR2144109,SRR2144110,SRR2144111,SRR2144112,SRR2144115,SRR2144116,SRR2144117,SRR2144119,SRR2144120,SRR2144121,SRR2144122,SRR2144125,SRR2144127,SRR2144129,SRR2144131,ERR3928931,ERR3928933,ERR3928935,ERR3928937,ERR3928938,ERR3928939,ERR3928940,ERR3928941,ERR3928942,ERR3928943,ERR3928944,ERR3928946,ERR3928948,ERR3928950,ERR3928951,ERR3928952,ERR3928953,ERR3928954,ERR3928955,ERR3928956,ERR3928957,ERR3928958,ERR3928959,ERR3928960,ERR3928961,ERR3928962,ERR3928963,ERR3928964,ERR3928965,ERR3928966,ERR3928968,ERR3928971,ERR3928972,ERR3928973,ERR3928974,ERR3928975,ERR3928977,ERR3928978,ERR3928979,ERR3928980,ERR3928982,ERR3929033,ERR3929034,ERR3929035,ERR3929036,ERR3929037,ERR3929038,ERR3929040,ERR3929042,ERR3929043,ERR3929045,ERR3929046,ERR3929047,ERR3929048,ERR3929049,ERR3929050,ERR3929051,ERR3929052,ERR3929054,ERR3929055,ERR3929057,ERR3929058,ERR3929059,ERR3929060,ERR3929061,ERR3929062,ERR3929063,ERR3929064,ERR3929066,ERR3929068,ERR3929070,ERR3929071,ERR3929072,ERR3929073,ERR3929074,ERR3929075,ERR3929076,ERR3929078,ERR3929079,ERR3929080,ERR3929082,ERR3929084
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57279817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169913866,0,0,0,0,0,0,0,0,0.072846876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.619447657,0,0.189735475,0.105147872,0,1.689654509,1.499544206,0,1.067574225,0,1.526319571,1.574319571,0,2.29093299,0.391110925,0,0.214628181,0,0.238171114,0,0,0,0,0.391110925,0,0,1.401361726,0,0,0.238171114,0.163328761,0,0,1.41224097,0.135211875,2.095646272,0,0.214628181,1.963106086,0.321338868,2.502601165,0,2.611414438,0.189735475,0,0,1.375421288,2.043297011,0,0.105147872,1.86737647,0.072846876,0,2.515375629,0,1.050262666,0.135211875,0,1.390202935,0.391110925,0.852353173,0,0,1.802483527,1.836718864,0,0,1.944584226,0,0,0,2.645997741,1.590907548,0.339860564,0.321338868,0,0,0.786288946,0.163328761,0,0.786288946,1.603933809,0,1.490666546,1.991513714,1.744397959,2.148881329,0,0,0.189735475,0,0,2.142358784,0,1.80868827,0,2.366208572,0.105147872,0,0.924087572,0.189735475,0,0.339860564,2.433570781,1.673978816,1.722420417,2.08858938,0.422199129,0.90477199,0,0,1.578526341,0,0,0,0,0.478403371,0,0.593506725,2.262199492,0,0,0,1.82203447,0,0,0,1.636262913,2.347910255,0,0.163328761,0,0,0.135211875,0,0.214628181,0.841065042,0,0,0.465019406,0,0,0,0.214628181,0.238171114,0,0.503994052,0,0.163328761,0,2.463222619,0.189735475,0,1.612728434,0.964641558,0,1.511919818,2.905009348,0,1.869523918,0,0,0,0,2.394770765,2.160818956,0,0,2.379319322,0,0,0.189735475,0,0,0.105147872,0,0.874085622,0.105147872,1.982937413,2.807913627,0.260503154,0.214628181,0.603502107,0,0.281742793,0,0,2.189942484,0,0,0,0,0,0,0.163328761,1.551539593,0.57279817,0.260503154,0,0,1.884265893,0,0.884557184,0,1.614658844,2.051475042,0,0,0,2.277955414,2.702621655,1.284711552,1.793006966,0.189735475,0,0,1.740811404,2.39969614,0,0,2.361921243,0,1.713308236,0,0.189735475,1.035898749,0.105147872,1.76326958,1.112668852,0.321338868,1.884265893,0.528160351,2.143500199,0,2.547110913,0,2.49429496,0,0,0.321338868,1.823227667,0.406933142,0,0,2.226984548,1.136479692,0,0,0,0,0,0,2.57065151,2.116760544,0,0.622828127,2.379153716,2.182452019,0,1.668057889,0,0.422199129,1.906957477,0,0,0,0,2.131363044,0.135211875,1.88838758,0,0,0,0.214628181,2.538589384,0.964641558,2.201066199,2.067043422,0.072846876,2.145206717,0,0,1.476338605,0,0,1.794918893,0,2.62535445,0,0,0.641330658,2.524478781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.893380665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.197245813,0,0,0,0,0,0,0,0,0,0.511559172,0,0,0.193651478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.343822294,0,0,0,0,0,0,0,0,0,0,0,1.338258576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.947705291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.454044686,0,0,0,0,0,0,0,0,0,2.101411255,0,0,0,0,0,0,0,0,0,2.126741213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.778142856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.202635495,0,0,0,0,0,0,0,1.315262311,0,2.036962446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.560151726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.085415368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55017583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.722169443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.845044766,0,0,0,0,0,0,0,0,0,1.722169443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.193766326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.064078192,0,0,0,0,0,0,0,0,0,0,1.345956062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515470878,0,0,0,0,0,0,2.638673182,0,0,0,3.757761788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069995214,0,0,0,1.227495666,0,0,0,0,0,1.905385402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.809823311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.905385402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227495666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515470878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.227495666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Candidatus_Methanomethylophilus,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,uncultured,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22074923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.440305867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01597616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.328621797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50851691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.691620767,0,0,0,0,0,0,2.848599224,2.348048196,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae_Subgroup_1,Acidobacterium,uncultured_organism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.515281515,0,0,0,0.848104567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.052692445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.525286747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.819693589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.063899724,0,0,0,0,0,0,0,2.342941059,0,0,0,0,0,0,0,0,0,0,0,1.680125696,0,0,1.207407308,0,0,1.494754648,0,0,0,0,0,0,0,0,0,0,0,1.063899724,0,0,1.207407308,0,0,0,0,1.117180291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.571612947,0,0,0,0,1.450538915,0,0,0,0,0,0,1.553635588,1.207407308,0,1.809631014,0,1.164632741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743233007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.473209242,0,0,0,0,0,0,0,1.207407308,0,2.203512835,0,1.857762805,0,2.406612318,0,0,0,0,0,2.227499564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.164632741,0,0,0,2.477710145,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.322837798,0,0,0,0,0,0,0,2.709722309,0,2.695118293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749913337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,None,0,2.016715528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.547872798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.797643857,0,0,1.487613116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
