Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,None,0.015625
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,None,0.020833333333333332
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_plebeius,0.028645833333333332
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,None,None,None,0.020833333333333332
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelotrichaceae_UCG-003,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Faecalitalea,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_mucosae,0.028645833333333332
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_sp._oral_taxon_065,0.028645833333333332
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,None,0.026041666666666668
Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum,None,Bacteria,Firmicutes,Clostridia,Clostridiales,None,None,None,0.020833333333333332
